n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
179,leaky_relu,0.2,0.154,3,523,tanh,0.41000000000000003,1015,swish,0.226,0.0001,Adam,45,0.8097637384456641,,0,,,,,,,,,,,,,,,,,,,,,,
106,selu,,0.17,5,147,leaky_relu,0.46900000000000003,964,leaky_relu,0.056,0.009899999999999999,RMSprop,249,0.679481058421768,,1,0.21000000000000002,0.17,540.0,tanh,0.325,681.0,tanh,0.109,,,,,,,,,,,,,,
98,leaky_relu,0.15000000000000002,0.12,3,553,leaky_relu,0.341,663,swish,0.009000000000000001,0.006200000000000001,RMSprop,22,0.998053789138794,,2,0.03,,,,,,,,,,,,,,,,,,,,,
111,tanh,,0.122,3,734,selu,0.321,393,swish,0.487,0.007600000000000001,RMSprop,274,0.9990972876548767,,3,,,,,,,,,,,,,,,,,,,,,,
250,relu,,0.056,8,606,selu,0.27,917,swish,0.265,0.004200000000000001,Adam,68,0.49917930364608765,,4,,,801.0,leaky_relu,0.44,268.0,swish,0.372,0.03,887.0,leaky_relu,0.24000000000000002,0.455,567.0,swish,0.33,595.0,swish,0.41600000000000004,,,
144,relu,,0.132,6,151,leaky_relu,0.376,96,selu,0.128,0.0026,Adam,10,0.9916055202484131,,5,0.01,,136.0,swish,0.48,556.0,selu,0.46900000000000003,,285.0,tanh,,0.46,,,,,,,,,
214,relu,,0.14,5,622,leaky_relu,0.057,509,tanh,0.34800000000000003,0.0093,RMSprop,88,0.8335823861060204,,6,0.06999999999999999,,143.0,selu,0.493,98.0,swish,0.34800000000000003,,,,,,,,,,,,,,
146,elu,,0.05,8,362,leaky_relu,0.381,953,relu,0.381,0.008199999999999999,Adam,101,0.5008206963539124,,7,0.02,,520.0,elu,0.337,685.0,elu,0.485,,294.0,elu,,0.486,282.0,relu,0.43,524.0,elu,0.41600000000000004,,,
209,elu,,0.201,3,293,swish,0.026000000000000002,162,tanh,0.41200000000000003,0.007600000000000001,RMSprop,76,0.9989331364631653,,8,,,,,,,,,,,,,,,,,,,,,,
203,selu,,0.387,6,426,tanh,0.18,698,swish,0.39,0.002,RMSprop,132,0.9994841814041138,,9,,,189.0,tanh,0.483,993.0,leaky_relu,0.058,,354.0,leaky_relu,0.21000000000000002,0.259,,,,,,,0.19,,
232,relu,,0.41600000000000004,5,74,tanh,0.427,433,leaky_relu,0.17400000000000002,0.0094,Adam,48,0.9339930415153503,,10,,0.060000000000000005,815.0,relu,0.28,608.0,leaky_relu,0.08,,,,,,,,,,,,0.16,,
127,elu,,0.268,4,345,relu,0.455,25,swish,0.186,0.0023,Adam,408,0.9988744854927063,,11,,,541.0,swish,0.163,,,,,,,,,,,,,,,,,
60,swish,,0.302,5,1022,elu,0.166,768,elu,0.272,0.0002,Adam,215,0.9987689852714539,,12,,,956.0,selu,0.027,176.0,tanh,0.225,,,,,,,,,,,,,,
189,selu,,0.453,6,766,tanh,0.153,694,swish,0.34400000000000003,0.00030000000000000003,RMSprop,178,0.9995193481445312,,13,,,19.0,tanh,0.376,1013.0,relu,0.009000000000000001,,670.0,leaky_relu,0.08,0.079,,,,,,,,,
183,leaky_relu,0.28,0.47200000000000003,7,801,tanh,0.098,851,leaky_relu,0.314,0.0009000000000000001,RMSprop,209,0.9989213943481445,,14,,0.29000000000000004,6.0,tanh,0.177,998.0,relu,0.193,,799.0,selu,,0.004,979.0,leaky_relu,0.0,,,,,0.04,
172,selu,,0.342,4,879,tanh,0.202,1013,tanh,0.08,0.0041,RMSprop,338,0.999085545539856,,15,,,327.0,tanh,0.364,,,,,,,,,,,,,,,,,
168,leaky_relu,0.03,0.20600000000000002,7,664,tanh,0.495,587,relu,0.328,0.0001,Adam,190,0.9991441369056702,,16,,,311.0,selu,0.201,814.0,relu,0.027,,610.0,relu,,0.013000000000000001,19.0,tanh,0.089,,,,,,
211,selu,,0.47800000000000004,4,908,relu,0.089,313,elu,0.197,0.0017000000000000001,RMSprop,490,0.9993903636932373,,17,,,666.0,relu,0.062,,,,,,,,,,,,,,,,,
38,swish,,0.004,6,676,elu,0.261,800,selu,0.49,0.0035,RMSprop,154,0.9989331364631653,,18,,,353.0,elu,0.387,392.0,relu,0.146,,606.0,swish,,0.165,,,,,,,,,
